Khublei!,Thank you!
U Sami u la shah kem,Sami was arrested
U don dakmong ha kjat kamon,He has a bruise on his right leg
Ngam tip bha shaphang jong u,I knew very little about him
U dei hok ba un sngapjar,He was right to keep silent
Long phin khot ia u Tom?,Would you mind calling Tom for me?
Ngi dei ban pyrshang ia kane,We should give this a try
Ka don bad ki ksew jongka,She's with her dogs
Kane kadei na ka bynta jongnga,This is for me
Une udei na ka bynta jongnga,This is for me
Yn ym don da kawei ka por,There won't be a next time
Pynpait ki pylleng bad weng ki shangai,Break the eggs and remove the yolks
Ka nar ka ran ynda lah pjah,Metal contracts when cooled
U khublei ianga da ki khmat jongu,He thanked me with his eyes
Phi tip dei shaphang kaei kine baroh?,Do you know what this is all about?
Ka khlem da long kumba nga mut,It didn't work out quite like I intended it to
Phi ia mynjur bad u Tom dei?,You agree with Tom right?
U Tom u dang shu dep pynkhreh,Tom is just finishing setting up
Ki masi ki im da u phlang,Cows live on grass
Ki masi ki ai iangi ka dud,Cows give us milk
Ka jingshisha ka pynmih ia ka jingisih,The truth bears hatred
Ka jingshisha ka pynmih ia ka jingiashun,The truth bears hatred
Ki dngiem ki lah ban kiew dieng,Bears can climb trees
Balei ba nga hap ban nang french,Why do I need to learn French?
Ka Emily ka isih ia ki painkhana,Emily hates toilets
Nga leid ia ktien japan bad korea,I like Chinese and Japanese
Kine ki dei ki khulom jong u,These pens are his
U practice tem guitar baroh shi miet,He practices playing the guitar far into the night
Phi nang ban pyndonkam ia ki chopsticks?,Do you know how to use chopsticks?
U Brian u sah hajrong u lum,Brian lives over the hill
Phi lah ban iathuh ia nga lashai,You can tell me tomorrow
Nga hap ban ai jop ia ka,I had to let her win
Khublei ba phi lah pynshet iaka um,Thank you for boiling the water
Nga shim iaka kum ka dak jingkyrmen,I take it as a sign of hope
Ka pyrthei ka rkhie da ki syntiew,Earth laughs in flowers
U Ned u bad pynieng iaka lama,Ned held the flag erect
U Tom u deng ka iitkhmat jongu,Tom put on his sunglasses
Phi kwah ban wan shong bad nga?,Do you want to come sit by me?
Ngi dei ban mih noh mynta mynta,We must leave immediately
Ka jingshisha ka long ba nga thok,The truth is I told a lie
Balei ki mrad kim lah ban kren?,Why can't animals talk?
Kine ki mrad ki long paralok bha,These animals are friendly
Kam dei ka snam dei u bit,It's not blood It's beet
Balei um ju bamjasngi shuh bad nga?,Why doesn't he eat lunch with me anymore?
Ki ia tieng lut i'u Tom,They're all scared of Tom
Phi lah ban leit lada phi kwah,You can go if you want to
Me lah ban leit lada me kwah,You can go if you want to
Pha lah ban leit lada pha kwah,You can go if you want to
Nga call sha office jong u mynin,I called at his office yesterday
Mynta nga thoh da ki dak thymmai,Now I write with the new font
Phi lah ban leh katba phi mon,You may do what you wish
Iathuh ianga haei ka waiñ ka don,Tell me where the wine is
Iathuh ianga haei ka don ka waiñ,Tell me where the wine is
Kane ka kot kadei ka kot thymmai,That book is a new book
Kane ka kitab kadei ka kitab thymmai,That book is a new book
U Tom u khlem leh bakla eiei,Tom didn't do anything wrong
Nga shu donkam katto-katne u aspirin,I just need some aspirin
U Tom u don ha ka surgery?,Is Tom in surgery?
Lada phi kwah Jinsuk pynkhreh iaka thma,If you want peace prepare for war
U Tom u pankylliang pisa na ngi,Tom borrowed some money from us
Don duna um bha ha kophi jongphi,There is very little water in your coffee
"Me thiah bad ka!" "Nga khlem thiah","You slept with her!" "I did not"
Bunsap lane jaituh Hynrei ym baroh ar,Either skillful or lazy But not both
Kane ka sentence ka dei jong nga,This sentence is mine
Ka buh ia ki khun sha jingthiah,She puts the children to bed
Nga shong baroh shi miet thoh jingthoh,I've been up all night writing
Nga khlem ai eiei ia u Tom,I didn't give Tom anything
Ngam shem ai eiei ia u Tom,I didn't give Tom anything
Kaei ka kyrteng jong kane ka wah?,What is the name of this river?
Ai ia u Tom katba u pan,Give Tom everything he asks for
Mano ba stet tam naki lai ngut?,Who runs the fastest of the three?
Ngan sa iakynduh ia pha ha ïng,I'll see you at home
Kan sa ai party la shem taiew,She will give a party next week
Ki juti nga ki long rong brown,My shoes are brown
Sngewbha tangba kato kadei ka racket jongnga,Pardon me but that is my racket
Dei manga ba pyniap ia u Kennedy,It was me who killed Kennedy
Haduh katno ngi hap ban ap hangne?,How long do we have to wait here?
Ka eriong ka pynngam ia ka lieng,The storm sank the boat
Nga dang kylli jingkylli ia i pa,I am asking questions to my father
Nga tip phi don essay ban thoh,I know you have an essay to write
Phi mut ban leh aiu-aiu de?,What else are you planning to do?
Kato ka khubor ka lah saphriang lut,That news got around
Nga wan namar me thoh aiu re,I came because of something you wrote
I pa i ai game computer ianga,A computer game was given to me by my father
Nga pyrshang ban install ka browser thymmai,I tried to install a new browser
U pyni iangi kumno ban ñiah kulai,He showed us how to ride a horse
Uwei-pa-uwei naki u don kali,Each of them has his own car
Balei phi shait kylli bun jingkylli bha?,Why do you always ask so many questions?
Ka long ka briew kaba bhabriew bha,She is a very beautiful woman
Ka thok ban iada iaka longïing jongka,She lied to protect her family
Phi sia phi ia pahuh por shibun,You guys have too much time on your hands
Ka lok u Sami ka don hangto,Sami's wife was there
Map Nga khlem mut ban mut eiei,I'm sorry I didn't mean to imply anything
U don dak jingmong ha kjat kamon,He has a bruise on his right leg
U don ka hok ban iada ialade,He had the right to defend himself
Nga iohi u Tom u mareh shathie,I saw Tom running down the street
Lah slem u Tom um pat jngi,Tom hasn't been swimming in a long time
Ngan da bna bha shaphang jong u,I knew very little about him
Balei phim ju iathuh ianga shaphang kata?,Why didn't you ever tell me that?
Balei pham ju iathuh ianga shaphang kata?,Why didn't you ever tell me that?
Balei mem ju iathuh ianga shaphang kata?,Why didn't you ever tell me that?
U Kren ianga mynba u ïohi ianga,He spoke to me when he saw me
Ki lah tip lypa kin leh aiu,They already know what they'll do
U Tom u don bun ki paralok,Tom has lots of friends
Phi leh aiu ha kato ka por?,What were you doing at that time?
Me leh aiu ha kato ka por?,What were you doing at that time?
Pha leh aiu ha kato ka por?,What were you doing at that time?
Kumba katno sngi phin don ha Boston?,About how many days will you be in Boston?
Kumba katno sngi phan don ha Boston?,About how many days will you be in Boston?
Kumba katno sngi men don ha Boston?,About how many days will you be in Boston?
Ka miaw ka paw na khrum ka mieij,A cat appeared from under the desk
U Tom u lah dei ban sngewsih bha,Tom must've been very disappointed
Kane ka account kam iamynjur bad ki jingshisha,This account does not agree with the facts
Phi leh aiu na ka bynta ka team?,What do you do for the team?
Kumno phi tip u Tom u don hangto?,How do you know Tom is there?
Kumno me tip u Tom u don hangto?,How do you know Tom is there?
Kumno pha tip u Tom u don hangto?,How do you know Tom is there?
U khynnah u saitlah ban ngeit iau nonghikai,The student refused to obey his teacher
U Tom um ju iohi ia ka Mary,Tom never saw Mary
Ka Germany ka dei ka ri ba khriat,Germany is a cold country
Nga khlem don por tang ban airong ruh,I didn't even have time to paint!
Phi nang kumno ban pyndonkam ia ki chopsticks?,Do you know how to use chopsticks?
Ha kawei pat ka por wat pynhap iaka,Next time don't drop it
Ngam kwah ban tip eiei shaphang u Tom,I don't want to know anything about Tom
Nga hap ban ailad ba kan jop maka,I had to let her win
Ki briew ki iakren ha kajuh ka por,People are speaking at the same time
Iei i Disney character ba best tam maphi?,Who's your favorite Disney character?
Ka Mary ka lah ialam bakla ia phi,Mary misled you
Phi dei maphi ba hap siew iaka bill,You're the one who should pay the bill
Kam ju iohi shuh ia ka hymmen jongka,She never saw her sister again
U Tom bad Ka Mary ki don shabar,Tom and Mary are outside
Ngam sngewtynnad iakane ka kot Ka phyrnai palat,I don't like this paper It's too shiny
Ngam sngewtynnad iakane ka kot Ka shai palat,I don't like this paper It's too shiny
Ngan leh ia kaei kaba dei ban leh,I'll do what must be done
U Tom u kham bunkam ban ia nga,Tom was even busier than I was
U Tom u khlem leh eiei ba bakla,Tom didn't do anything wrong
U Tom un sa iap khlem jingiarap jongphi,Tom will die without your help
U Tom um tip eiei u leh aiu,Tom has no idea what he's doing
U Tom um tip eiei aiu u leh,Tom has no idea what he's doing
U Tom um tip eiei ba u leh,Tom has no idea what he's doing
Ka Tokyo ka kham heh ban iaka Yokohama,Tokyo is bigger than Yokohama
Nga kwah ba un leit hapoh shiteng sngi,I want him gone by noon
Ngam lah ngeit ngi dang ia don hangne,I can't believe we're all still here
Ngam thikna mano ba bat ka suitcase nga,I'm not sure who has my suitcases
Ka Mary ka shet kylla ia u Tom,Mary threw Tom under the bus
Nga slem te nga duh iaka flight 501,I was late so I missed flight 501
Nga shu kwah ia u ba un phet,I just want him to go away
Ngam tip u Tom un wan ne em,I don't know if Tom is coming or not
Jingphohsniew jongphi ki kyllain kum ki jingruma jongnga,Your dreams are almost as twisted as my nightmares
Ngi dei ban trei katba ngi dang im,We must work as long as we live
Katba ngi dang im ngi dei ban trei,We must work as long as we live
Nga lah poi sha Boston katto katne sien,I've been to Boston numerous times
Nga lah leit sha Boston katto katne sien,I've been to Boston numerous times
Nga lah pynlut bun ka jingim jongnga hangne,I've spent most of my life here
U ai kajuh ka jubab kum kaba hashuwa,He gave the same answer as before
Mynta ki por ym don ba ngeit rngai,Nowadays no one believes in ghosts
Nga ai khublei iaphi naduh ka dohnud jongnga,Thank you with all my heart
Ki i kumba ki tip lut shaphang jongngi,They seem to know all about us
Phi kylli bun jingkylli bha hato kam dei?,You really do ask a lot of questions don't you?
Phi lah thied lypa ka ticket jong phi?,Have you already bought your ticket?
Kumno phi ioh jingbit ban leh ia kata?,How did you get permission to do that?
U la phla ba u la leh shiliang,He admitted that he was biased
Ki lah lah ban pyndep hi da lade,They could've done it by themselves
Lada dei nga ngan leit kai sha Boston,I'd visit Boston if I were you
Kim shah iaphi ba phin leh kumto hangne,They won't permit you to do that here
Ki iathuh iangi ia kaei ba ki tip,They told us what they knew
Um shem lah ban leh hi da lade,He couldn't do that by himself
U Sami unhap ban shaniah ia ka Layla,Sami needs to trust Layla
Phi tip mano ba dei kmie u Tom?,Do you know who Tom's mother is?
Phi tip i kmie u Tom dei mano?,Do you know who Tom's mother is?
Ka Mary ka ong ba kan ym leh,Mary said that she wouldn't do it
Ka Mary kam sngewtynnad iaka sofa bathymmai jongka,Mary doesn't like her new sofa
Ka Mary ka ong ba kam bunkam lashai,Mary says she's not busy tomorrow
U ong ba u donkam ban leit thiedjingthied,He said he needs to go shopping
Ki ong ba ki tieng ban leit shato,They said they were afraid to go there
Ki ong ba ki tieng ban leit shatai,They said they were afraid to go there
Ki ong ba ki tieng ban leit shata,They said they were afraid to go there
Ki ong ba ki tieng ban leit shatei,They said they were afraid to go there
Ngam lah shah shuh iaka jingkhkemakor u Tom,I can't put up with Tom's bad manners any longer
Phim dei ban leh kum kato da lade,You should not do that kind of thing by yourself
Mem dei ban leh kum kato da lade,You should not do that kind of thing by yourself
Pham dei ban leh kum kato da lade,You should not do that kind of thing by yourself
Ka Mary ka song kyrkieh ia ka suitcase,Mary hastily packed her suitcase
Kumno sa don ki jaid briew kum maphi?,How do people like you get to be people like you?
Kumno sa don ki jaid briew kum mame?,How do people like you get to be people like you?
Kumno sa don ki jaid briew kum mapha?,How do people like you get to be people like you?
U Sami u long u kpa ba bha,Sami is a good dad
U Sami u long u kpa ba biang,Sami is a good dad
Nga iathuh lut ia i mei i pa,I told my parents everything
U kren ianga por ba u ïohi ianga,He spoke to me when he saw me
Nga shu rkhie namar baroh ki ia rkhie,I just laughed because everyone else did
U Tom um kwah ban leit shato marwei,Tom didn't want to go there alone
U Tom um kwah ban leit shatei marwei,Tom didn't want to go there alone
U Tom um kwah ban leit shatai marwei,Tom didn't want to go there alone
Nga phong bakla da lyndet ia ki gloves,I put my gloves on inside out by mistake
Kane ka kot ka suk ianga ban pule,This book is easy for me to read
Ka race shispah mitar kan sdang ar baje mynsngi, The Hundred meter race will start at two o'clock
